labels,text,predicates,subj/obj,triple_A,triple_B,triple_C,triple_D
research-problem,Recurrent Neural Network Grammars,[],[],[],[],[],[]
model,"In this paper , we introduce recurrent neural network grammars ( RNNGs ; 2 ) , a new generative probabilistic model of sentences that explicitly models nested , hierarchical relationships among words and phrases .","[('introduce', (5, 6)), ('of', (21, 22)), ('explicitly models', (24, 26)), ('among', (30, 31))]","[('recurrent neural network grammars ( RNNGs', (6, 12)), ('sentences', (22, 23)), ('nested , hierarchical relationships', (26, 30)), ('words and phrases', (31, 34))]",[],[],[],[]
model,"We give two variants of the algorithm , one for parsing ( given an observed sentence , transform it into a tree ) , and one for generation .","[('give', (1, 2)), ('of', (4, 5)), ('one for', (8, 10))]","[('two variants', (2, 4)), ('algorithm', (6, 7)), ('parsing', (10, 11)), ('generation', (27, 28))]",[],[],[],[]
model,"Similar to previously published discriminative bottomup transition - based parsers , greedy prediction with our model yields a linear -","[('with', (13, 14)), ('yields', (16, 17))]","[('greedy prediction', (11, 13)), ('our', (14, 15))]",[],[],[],[]
model,We present a simple importance sampling algorithm which uses samples from the discriminative parser to solve inference problems in the generative model ( 5 ) .,"[('present', (1, 2)), ('which uses', (7, 9)), ('from', (10, 11)), ('to solve', (14, 16)), ('in', (18, 19))]","[('simple importance sampling algorithm', (3, 7)), ('samples', (9, 10)), ('discriminative parser', (12, 14)), ('inference problems', (16, 18)), ('generative model', (20, 22))]",[],[],[],[]
research-problem,Transition Sequences from Trees,[],[],[],[],[],[]
hyperparameters,For training we used stochastic gradient descent with a learning rate of 0.1 .,"[('used', (3, 4)), ('with', (7, 8)), ('of', (11, 12))]","[('training', (1, 2)), ('stochastic gradient descent', (4, 7)), ('learning rate', (9, 11)), ('0.1', (12, 13))]",[],[],[],[]
results,"Despite slightly higher language modeling perplexity on PTB 23 , the fixed RNNG still outperforms a highly optimized sequential LSTM baseline . :",[],"[('fixed RNNG', (11, 13)), ('outperforms', (14, 15)), ('highly optimized sequential LSTM baseline', (16, 21))]",[],[],[],[]
research-problem,Cloze - driven Pretraining of Self - attention Networks,[],[],[],[],[],[]
research-problem,We present a new approach for pretraining a bi-directional transformer model that provides significant performance gains across a variety of language understanding problems .,[],"[('pretraining', (6, 7))]",[],[],[],[]
approach,"In this paper , we show that even larger performance gains are possible by jointly pretraining both directions of a large language - model - inspired self - attention cloze model .","[('show', (5, 6)), ('of', (18, 19))]","[('even larger performance gains', (7, 11)), ('both directions', (16, 18)), ('large language - model - inspired self - attention cloze model', (20, 31))]",[],[],[],[]
approach,We achieve this by introducing a cloze - style training objective where the model must predict the center word given left - to - right and right - to - left context representations .,"[('introducing', (4, 5)), ('where', (11, 12)), ('must predict', (14, 16)), ('given', (19, 20))]","[('cloze - style training objective', (6, 11)), ('model', (13, 14)), ('center word', (17, 19)), ('left - to - right and right - to - left context representations', (20, 33))]",[],[],[],[]
experimental-setup,We subsample up to 18B tokens .,"[('subsample', (1, 2))]","[('up to 18B tokens', (2, 6))]",[],[],[],[]
experimental-setup,"CNN models use an adaptive softmax in the output : the headband contains the 60K most frequent types with dimensionality 1024 , followed by a 160 K band with dimensionality 256 . with a momentum of 0.99 and we renormalize gradients if their norm exceeds 0.1 .","[('use', (2, 3)), ('in', (6, 7)), ('contains', (12, 13)), ('with', (18, 19)), ('followed by', (22, 24)), ('with', (28, 29)), ('with', (32, 33)), ('if', (41, 42)), ('exceeds', (44, 45))]","[('CNN', (0, 1)), ('adaptive softmax', (4, 6)), ('output', (8, 9)), ('headband', (11, 12)), ('60K most frequent types', (14, 18)), ('160 K band', (25, 28)), ('dimensionality 256', (29, 31)), ('momentum', (34, 35)), ('0.99', (36, 37)), ('renormalize', (39, 40)), ('gradients', (40, 41)), ('norm', (43, 44)), ('0.1', (45, 46))]",[],[],[],[]
experimental-setup,The learning rate is linearly warmed up from 10 ? 7 to 1 for 16 K steps and then annealed using a cosine learning rate schedule with a single phase to 0.0001 .,"[('from', (7, 8)), ('for', (13, 14)), ('annealed using', (19, 21)), ('with', (26, 27)), ('to', (30, 31))]","[('learning rate', (1, 3)), ('linearly warmed up', (4, 7)), ('10 ? 7 to 1', (8, 13)), ('16 K steps', (14, 17)), ('cosine learning rate schedule', (22, 26)), ('single phase', (28, 30)), ('0.0001', (31, 32))]",[],[],[],[]
experimental-setup,We run experiments on DGX - 1 machines with 8 NVIDIA V100 GPUs and machines are interconnected by Infiniband .,"[('on', (3, 4)), ('with', (8, 9)), ('interconnected by', (16, 18))]","[('DGX - 1 machines', (4, 8)), ('8 NVIDIA V100 GPUs', (9, 13)), ('Infiniband', (18, 19))]",[],[],[],[]
experimental-setup,We also use the NCCL2 library and the torch .,"[('use', (2, 3))]","[('NCCL2 library', (4, 6)), ('torch', (8, 9))]",[],[],[],[]
experimental-setup,"We train models with 16 bit floating point precision , following .","[('train', (1, 2)), ('with', (3, 4))]","[('models', (2, 3)), ('16 bit floating point precision', (4, 9))]",[],[],[],[]
results,"All our models outperform the uni-directional transformer ( OpenAI GPT ) of , however , our model is about 50 % larger than their model .","[('than', (22, 23))]","[('outperform', (3, 4)), ('uni-directional transformer ( OpenAI GPT )', (5, 11)), ('our model', (15, 17)), ('about 50 % larger', (18, 22))]",[],[],[],[]
results,"Our CNN base model performs as well as STILTs in aggregate , however , on some tasks involving sentence - pairs , STILTs performs much better ( MRPC , RTE ) ; there is a similar trend for BERT .","[('performs as', (4, 6)), ('in', (9, 10)), ('performs', (23, 24))]","[('Our CNN base model', (0, 4)), ('STILTs', (8, 9)), ('aggregate', (10, 11)), ('much', (24, 25))]",[],[],[],[]
results,Structured Prediction,[],[],[],[],[],[]
research-problem,An Empirical Study of Building a Strong Baseline for Constituency Parsing,[],[],[],[],[],[]
research-problem,This paper investigates the construction of a strong baseline based on general purpose sequence - to - sequence models for constituency parsing .,"[('investigates', (2, 3)), ('based on', (9, 11)), ('for', (19, 20))]","[('general purpose sequence - to - sequence models', (11, 19)), ('constituency parsing', (20, 22))]",[],[],[],[]
research-problem,"We incorporate several techniques that were mainly developed in natural language generation tasks , e.g. , machine translation and summarization , and demonstrate that the sequenceto - sequence model achieves the current top - notch parsers ' performance without requiring explicit task - specific knowledge or architecture of constituent parsing .","[('incorporate', (1, 2)), ('demonstrate', (22, 23))]","[('sequenceto - sequence model', (25, 29))]",[],[],[],[]
research-problem,"Sequence - to - sequence ( Seq2seq ) models have successfully improved many well - studied NLP tasks , especially for natural language generation ( NLG ) tasks , such as machine translation ( MT ) and abstractive summarization .",[],"[('Sequence - to - sequence ( Seq2seq )', (0, 8))]",[],[],[],[]
model,Our aim is to update the Seq2seq approach proposed in as a stronger baseline of constituency parsing .,"[('of', (14, 15))]","[('Seq2seq approach', (6, 8)), ('constituency parsing', (15, 17))]",[],[],[],[]
research-problem,Constituency Parsing by Seq2seq,[],"[('Constituency Parsing', (0, 2))]",[],[],[],[]
experiments,Model ensemble,[],[],[],[],[],[]
experiments,Ensembling several independently trained models together significantly improves many NLP tasks .,"[('Ensembling', (0, 1))]","[('several independently trained models together', (1, 6)), ('significantly improves', (6, 8))]",[],[],[],[]
experiments,Language model ( LM ) reranking,[],[],[],[],[],[]
hyperparameters,"For data pre-processing , all the parse trees were transformed into linearized forms , which include standard UNK replacement for OOV words and POS - tag normalization by XX - tags .","[('For', (0, 1)), ('transformed into', (9, 11)), ('which', (14, 15)), ('include', (15, 16)), ('for', (19, 20)), ('by', (27, 28))]","[('data pre-processing', (1, 3)), ('all the parse trees', (4, 8)), ('linearized forms', (11, 13)), ('standard UNK replacement', (16, 19)), ('OOV words', (20, 22)), ('POS - tag normalization', (23, 27)), ('XX - tags', (28, 31))]",[],[],[],[]
results,Ensembling and Reranking : shows the results of our models with model ensembling and LM- reranking .,[],"[('Ensembling and Reranking', (0, 3))]",[],[],[],[]
results,( 1 ) Smaller mini-batch size M and gradient clipping G provided the better performance .,"[('provided', (11, 12))]","[('Smaller mini-batch size M and gradient clipping G', (3, 11)), ('better performance', (13, 15))]",[],[],[],[]
ablation-analysis,"( 2 ) Larger layer size , hidden state dimension , and beam size have little impact on the performance ; our setting , L = 2 , H = 200 , and B = 5 looks adequate in terms of speed / performance trade - off .","[('have', (14, 15)), ('on', (17, 18)), ('looks', (36, 37)), ('in terms of', (38, 41))]","[('Larger layer size', (3, 6)), ('little impact', (15, 17)), ('performance', (19, 20)), ('our', (21, 22)), ('adequate', (37, 38)), ('speed / performance trade - off', (41, 47))]",[],[],[],[]
results,( e ) shows the results of utilizing subword splits .,"[('of', (6, 7))]","[('results', (5, 6)), ('utilizing subword splits', (7, 10))]",[],[],[],[]
results,"Thus , using subword information as features is one promising approach for leveraging subword information into constituency parsing .","[('using', (2, 3)), ('as', (5, 6)), ('is', (7, 8)), ('for leveraging', (11, 13)), ('into', (15, 16))]","[('subword information', (3, 5)), ('features', (6, 7)), ('promising approach', (9, 11)), ('subword information', (13, 15)), ('constituency parsing', (16, 18))]",[],[],[],[]
results,Our Seq2seq approach successfully achieved the competitive level as the current top - notch methods : RNNG and its variants .,"[('successfully achieved', (3, 5)), ('as', (8, 9))]","[('Our Seq2seq approach', (0, 3)), ('competitive level', (6, 8)), ('current', (10, 11)), ('RNNG', (16, 17))]",[],[],[],[]
research-problem,Grammar as a Foreign Language,[],[],[],[],[],[]
research-problem,Syntactic constituency parsing is a fundamental problem in natural language processing and has been the subject of intensive research and engineering for decades .,[],"[('Syntactic constituency parsing', (0, 3))]",[],[],[],[]
results,But a single attention model gets to 88.3 and an ensemble of 5 LSTM + A+D models achieves 90.5 matching a single - model BerkeleyParser on WSJ 23 .,"[('gets to', (5, 7)), ('achieves', (17, 18)), ('matching', (19, 20)), ('on', (25, 26))]","[('single attention model', (2, 5)), ('88.3', (7, 8)), ('ensemble of 5 LSTM', (10, 14)), ('90.5', (18, 19)), ('single - model BerkeleyParser', (21, 25))]",[],[],[],[]
results,"When trained on the large high - confidence corpus , a single LSTM + A model achieves 92.5 and so outperforms not only the best single model , but also the best ensemble result reported previously .","[('trained on', (1, 3)), ('achieves', (16, 17))]","[('large high - confidence corpus', (4, 9)), ('single LSTM + A model', (11, 16)), ('92.5', (17, 18)), ('outperforms', (20, 21)), ('best single model', (24, 27)), ('best ensemble result', (31, 34))]",[],[],[],[]
results,An ensemble of 5 LSTM+ A models further improves this score to 92.8 .,"[('further improves', (7, 9)), ('to', (11, 12))]","[('ensemble of 5 LSTM+ A models', (1, 7)), ('score', (10, 11)), ('92.8', (12, 13))]",[],[],[],[]
